"","Gene","Correlation","P_value","SYMBOL","fdr"
"6389","105371269",0.0793673761022088,0.363823886582302,"LOC105371269",0.530565833195057
"6390","105371271",0.15106648466473,0.082614372359522,"LOC105371271",0.180350416773263
"6391","105371272",0.0915257992333019,0.294747131204038,"LOC105371272",0.459780563735643
"6392","105371274",0.0378948383136922,0.664974844355912,"LOC105371274",0.788514647757094
"6393","105371275",0.143926925687961,0.0983725030560706,"LOC105371275",0.20604161158099
"6394","105371276",-0.0306279669940903,0.726363536118068,"LOC105371276",0.830461293532011
"6395","105371277",0.248366329224694,0.0039444238044233,"LOC105371277",0.0139559615472691
"6396","105371279",0.194740318079879,0.0246908394693928,"LOC105371279",0.0671134180560081
"6397","105371281",-0.00793673761022088,0.927756119445954,"LOC105371281",0.958336404023617
"6398","105371286",-0.20398041296171,0.0185212958547672,"NUP93-DT",0.0527570520069297
"6399","105371287",-0.129209794913469,0.13826708077839,"LOC105371287",0.265269258783029
"6400","105371288",-0.0922418825097513,0.290969571159975,"LOC105371288",0.45568877716594
"6401","105371289",-0.074876875055955,0.391680128284874,NA,0.557312261076782
"6402","105371291",-0.121857993286628,0.162328632214087,"LOC105371291",0.29942520888402
"6403","105371295",-0.090717935847295,0.299047690074744,"LINC02137",0.464543909863109
"6404","105371296",0.0334350720632607,0.70241747993452,"LOC105371296",0.815396469599781
"6405","105371307",0.20984536879899,0.0153393059570024,"LOC105371307",0.0449205112445125
"6406","105371308",-0.00635871762210261,0.942091937025253,"LOC105371308",0.96602494126881
"6407","105371310",0.0223195482186708,0.798720286699642,"LOC105371310",0.88028087441209
"6408","105371311",0.0595075572353823,0.496251263170375,"LOC105371311",0.652383414411876
"6409","105371312",-0.175201704364649,0.0436869820557418,NA,0.107510248425753
"6410","105371313",-0.0705373299460988,0.419779947417007,"LOC105371313",0.583059944558597
"6411","105371314",0.175455699053545,0.0433779764868048,NA,0.106886849536908
"6412","105371316",0.110109597303557,0.207056939709318,"LOC105371316",0.356910834052619
"6413","105371317",0.278708793428268,0.00116013603602138,"LOC105371317",0.00484369050093594
"6414","105371318",0.013241574252491,0.87975924031285,"LOC105371318",0.932191511319134
"6415","105371321",0.0306131307822805,0.726490825759922,"LOC105371321",0.830461293532011
"6416","105371325",-0.117633510606076,0.177498557328388,"LOC105371325",0.318615243721511
"6417","105371328",0.062957066372741,0.471575862823347,"LOC105371328",0.630128992750986
"6418","105371332",-0.0228116946157056,0.794379452999084,"LOC105371332",0.877774511244375
"6419","105371341",-0.00234629754096495,0.978616509607849,"LOC105371341",0.988845921326718
"6420","105371343",0.186282391810299,0.0318041752814266,"LOC105371343",0.082894366451614
"6421","105371344",-0.0476836142961463,0.585730410120424,"LOC105371344",0.726950307989998
"6422","105371345",-0.0828757517908754,0.342935714271598,NA,0.509973831287635
"6423","105371346",0.0321963186838449,0.712950360083586,"CPHXL",0.821329749624977
"6424","105371348",0.175818839635141,0.0429393579739879,"LOC105371348",0.10597562596266
"6425","105371351",-0.0762164735754451,0.383239211673414,"LOC105371351",0.548789811792508
