"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"DNMT3A",20.149654018149,-0.373526489181851,0.518920569472991,-0.719814382307487,0.47163928847621,0.563249438384393,"DNMT3A"
"CCDC174",76.7005003935893,-0.373684133965989,0.333247396423626,-1.12134149576659,0.262142528779494,0.348650677354622,"CCDC174"
"FAM108A1",1168.38906106288,-0.373797089139442,0.129047526293018,-2.89658469152435,0.00377248801010713,0.00876629012632653,"FAM108A1"
"PTCD1",88.4941856673154,-0.373913846539025,0.31126040757915,-1.20128945871133,0.2296389380305,0.312764685699684,"PTCD1"
"MAP3K6",543.821420901473,-0.374108244843068,0.184113399889751,-2.03194468771468,0.0421592558418439,0.0738731193488525,"MAP3K6"
"H3F3A",1419.41028006734,-0.374257728487941,0.200695514433609,-1.86480365315662,0.0622089310601326,0.103208208976757,"H3F3A"
"CIAO1",645.13130018093,-0.374388840621092,0.12964909142951,-2.8877089418297,0.00388058774796312,0.0089891186952262,"CIAO1"
"RGS2",67.6101456451685,-0.374454548319151,0.457701198186048,-0.818120096261888,0.413288614805972,0.506701194994768,"RGS2"
"EXOC8",159.239707352852,-0.374568317865201,0.220816522596159,-1.69628754887256,0.0898314373154833,0.141661619087329,"EXOC8"
"LYSMD2",8.06198920111916,-0.374600457486085,1.16725313708486,-0.320924781081869,0.748267393852398,0.806181296057199,"LYSMD2"
"RPL7L1",515.186148802913,-0.374764272283354,0.224238450535861,-1.67127569508166,0.0946672348656335,0.148281921039122,"RPL7L1"
"WIZ",885.701464510813,-0.375030238187775,0.161770888644094,-2.31828013885035,0.0204341011040538,0.0393347805044665,"WIZ"
"TOX4",615.711799386399,-0.375441185405627,0.228772237460341,-1.64111340420278,0.100773876785291,0.156512083076709,"TOX4"
"NR1H3",10.284222054518,-0.375576737134459,0.674630316087954,-0.556714882474231,0.577722247037776,0.661174537248024,"NR1H3"
"CTDSP1",1175.99783391223,-0.375649631131223,0.11884478892424,-3.16084225931597,0.00157313665991607,0.00399767046464257,"CTDSP1"
"FAM168B",1136.89217732142,-0.375653721997064,0.166554800855801,-2.2554361691579,0.0241059646114936,0.0454387087798038,"FAM168B"
"UCHL5",119.320041443965,-0.37618452792994,0.236014619724271,-1.59390349788257,0.110957650877966,0.169551742393845,"UCHL5"
"ITM2C",1369.31218881081,-0.376460193617455,0.285187687216009,-1.32004364316161,0.186820447086076,0.262943372680853,"ITM2C"
"PSMA5",740.99462448283,-0.376634008418986,0.165474225646782,-2.27608865940815,0.0228407037010935,0.0433474725485579,"PSMA5"
